REF_AREA,REF_AREA_LABEL,TIME_PERIOD,Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Monetary Sector credit to private sector (% GDP),Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)","Portfolio equity, net inflows (BoP, current US$)"
BRA,Brazil,2005,31.83978416,31.83978416,31.83978416,53.23338559,19.16930497,36.00993016,15459981604.0,0.326410993,6451252310.0
BRA,Brazil,2006,35.42516667,35.42516667,35.42516667,64.1233686,25.23203981,39.34921132,19418085598.0,2.600007093,7715813475.0
BRA,Brazil,2007,40.69093794,40.69093794,40.69093794,98.03858476,46.19798494,47.12224789,44579492464.0,1.221177746,26217335944.0
BRA,Brazil,2008,45.78225599,45.78225599,45.78225599,34.90661176,33.60324803,96.26614083,50716402711.0,1.539949533,-7565367450.0
BRA,Brazil,2009,47.49428984,47.49428984,47.49428984,80.21898841,42.46360661,52.93460745,31480931700.0,-0.273058418,37071238200.0
BRA,Brazil,2010,52.76465763,52.76465763,52.76465763,69.97189646,41.1135649,58.75725396,82389932468.0,1.211633161,37671282921.0
BRA,Brazil,2011,58.0784911,58.0784911,58.0784911,46.97487936,31.53162118,67.12443249,102427000000.0,0.614149754,7173947294.0
BRA,Brazil,2012,62.5192932,62.5192932,62.5192932,49.79040957,33.73477084,67.7535516,92568388321.0,0.084505969,5601757311.0
BRA,Brazil,2013,64.23057382,64.23057382,64.23057382,41.26687432,29.91234497,72.48512387,75211029129.0,0.63261809,11126371480.0
BRA,Brazil,2014,66.02851039,66.02851039,66.02851039,34.35990128,26.2280086,76.33318963,87713983217.0,0.839026343,11492921646.0
BRA,Brazil,2015,66.82970064,66.82970064,66.82970064,27.21844343,23.30345829,85.61642533,64738153494.0,0.173896122,9786874386.0
BRA,Brazil,2016,62.19400697,62.19400697,62.19400697,42.24322945,31.24591499,73.5614432,74294627801.0,0.818262251,11039830850.0
BRA,Brazil,2017,59.4843093,59.4843093,59.4843093,46.26644878,31.13631969,67.01921,68885491315.0,1.034182606,5673535220.0
BRA,Brazil,2018,60.21834794,60.21834794,60.21834794,47.82764763,40.12637633,83.8979,78162724370.0,0.105614994,-2953215824.0
BRA,Brazil,2019,62.79050507,62.79050494,62.79050507,63.38382352,55.44930338,87.4818,69174411753.0,1.218157699,-1809748191.0
BRA,Brazil,2020,68.69615485,68.69615459,68.69615485,66.95816531,93.05529375,138.9753,38270116307.0,-0.234891709,-5206084619.0
BRA,Brazil,2021,68.80522468,68.80522457,68.80522468,48.83596027,84.38191511,172.7864,46440503520.0,0.972038153,7487762025.0
BRA,Brazil,2022,70.60609738,70.60609718,70.60609738,40.69922413,66.19924845,162.6548,74606361830.0,1.70880594,11452732157.0
